estaciones del ano,sol,flor,hoja seca,copo nieve
puntos cardinales,brujula,flecha norte,flecha sur,rosa vientos
elementos clasicos,llama,ola,montana,viento
operaciones matematicas,signo mas,signo menos,signo por,signo division
sabores basicos,azucar,salero,limon,cafe amargo
medios de transporte,carro,tren,avion,barco
instrumentos musicales,guitarra,piano,bateria,violin
deportes populares,balon futbol,balon basket,raqueta,guante beisbol
colores primarios,rojo,azul,amarillo,verde
familias real,corona rey,corona reina,cetro principe,tiara princesa
tipos de nube,nube algodon,nube capa,nube filamento,nube tormenta
estados de la materia,cubo hielo,gota agua,humo,rayo
fases lunares,luna nueva,media luna,luna llena,luna menguante
tipos de animales,perro,pajaro,serpiente,pez
herramientas basicas,martillo,destornillador,llave,sierra
generos literarios,libro novela,libro poesia,mascara teatro,lupa ensayo
sistemas del cuerpo,corazon,cerebro,estomago,pulmon
tipos de energia,panel solar,molino viento,presa agua,atomo
planetas rocosos,mercurio,venus,tierra,marte
tipos de cafe,taza expreso,taza capucino,taza latte,taza americano
redes sociales,logo facebook,logo instagram,logo twitter,logo tiktok
navegadores web,logo chrome,logo safari,logo firefox,logo edge
sistemas operativos,logo windows,logo apple,logo linux,logo android
tipos de cine,carita risa,carita triste,explosion,fantasma
instrumentos de cuerda,arpa,violonchelo,contrabajo,laud
instrumentos de viento,flauta,trompeta,saxofon,clarinete
paises nordicos,bandera suecia,bandera noruega,bandera dinamarca,bandera finlandia
comida rapida,hamburguesa,pizza,hot dog,papas fritas
razas de perros,labrador,pastor aleman,bulldog,chihuahua
razas de gatos,siames,persa,angora,bengali
tipos de vino,vino tinto,vino blanco,vino rosado,champan
bebidas calientes,taza te,taza chocolate,taza infusion,taza moka
bebidas frias,vaso soda,vaso jugo,vaso batido,botella agua
tipos de pan,baguette,pan integral,pan centeno,pan brioche
frutas citricas,naranja,lima,pomelo,mandarina
frutas tropicales,mango,pina,coco,papaya
verduras de hoja,lechuga,espinaca,acelga,repollo
tipos de pasta,espagueti,macarrones,fusilli,lasana
condimentos,pimienta,oregano,perejil,curcuma
tipos de queso,queso cheddar,queso mozzarella,queso parmesano,queso gouda
postres,pastel,helado,flan,galletas
tipos de chocolate,chocolate negro,chocolate con leche,chocolate blanco,chocolate amargo
estaciones del ano variantes,sol verano,flor primavera,hoja otono,copo invierno
dias de la semana,lunes,martes,miercoles,jueves
horas del dia,sol manana,sol tarde,luna noche,luna madrugada
canales tv,logo cnn,logo bbc,logo fox,logo nbc
plataformas streaming,logo netflix,logo amazon,logo disney plus,logo hbo
consolas de videojuegos,playstation,xbox,nintendo,pc gaming
generos musicales,guitarra electrica,microfono pop,saxofon jazz,violin clasico
artistas famosos,pincel picasso,oreja van gogh,mona lisa,nenufar monet
escritores clasicos,don quijote,romeo y julieta,crimen y castigo,metamorfosis
cientificos famosos,einstein,newton,tesla,darwin
inventos importantes,telefono,bombilla,automovil,internet
monumentos mundiales,torre eiffel,estatua libertad,gran muralla,coliseo
rios importantes,rio nilo,rio amazonas,rio misisipi,rio yangtse
oceanos,oceano pacifico,oceano atlantico,oceano indico,oceano artico
montanas famosas,monte everest,montana k2,monte fuji,monte kilimanjaro
tipos de clima,nube gris,sol radiante,viento fuerte,lluvia ligera
fenomenos naturales,terremoto,huracan,tornado,tsunami
signos zodiaco,aries,tauro,geminis,cancer
elementos oficina,computadora,impresora,escritorio,silla